feature_id	370(-)_SD_t2A	370(-)_SD_t2B	370(-)_SD_t7C	370(-)_t2A	370(-)_W_t2A	370(-)_W_t2B	370(-)_W_t7C	432(-)_t2B	432(-)_SD_t2A	432(-)_SD_t2B	432(-)_SD_t2C	432(-)_SD_t7C	432(-)_SD_t7D	432(-)_t2C	432(-)_W_t2A	432(-)_W_t2B	432(-)_W_t7C	432(-)_W_t7D
83195e9c113b6764ad8d91c60abc0420	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
04895f96b4c9eed1987a8418d09ba064	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	7.0	9.0	12.0	0.0
99d8ff3cab6c8347dd82cb13546d7b9f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0
d01f950390f9f7f0ac8ba518bcc3048b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0
325893ea058c2cab8c22a96537ff96e5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
671148edcae8e9de3112273a1294fa80	177.0	33.0	1384.0	0.0	76.0	28.0	592.0	0.0	319.0	230.0	353.0	1005.0	397.0	17.0	47.0	309.0	2440.0	5386.0
f6f5b15f79f01e92e30390abd2b15ecd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	58.0	58.0	15.0	0.0	0.0	27.0	100.0	203.0
1e1cd125d78bb54778da2120d56c8208	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
a4c73a44a81b15277cefbb8094e3f2a9	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0
fb30a7557acbbde8164df595ff251d98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0
a34ad9658cc34c205ed114ab0cc49d39	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10c3593824283f99c76e31490c5f5ccd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0
3c64ca47d1a1485a5d88330dda341984	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ee2f108aa3751997d51f62b2998ae057	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0274e5b0e4fbc66a6497618a6ca99411	0.0	0.0	0.0	10.0	7.0	4.0	68.0	0.0	0.0	5.0	0.0	363.0	2168.0	0.0	29.0	0.0	1657.0	243.0
