"Genus"	"Phylum"	"Family"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"rab.all"	"rab.win.10"	"rab.win.5"	"diff.btw"	"diff.win"	"effect"	"overlap"
"Leptotrichia"	"Fusobacteria"	"Leptotrichiaceae"	0.451167007185395	0.761638207340779	0.462757554945055	0.767968083436571	-1.93648239873863	-1.620843848117	-2.89218685164854	-1.38404093048294	4.07039270357931	-0.332461810256941	0.355468950535953
"Lysinibacillus"	"Firmicutes"	"Planococcaceae"	0.5248063806358	0.810847516409429	0.557494848901099	0.829570059003236	-1.04130987455841	-1.30802077971319	2.61893291778161	1.53576039717204	7.20876668288915	0.257006465748039	0.408560430643848
"Mesorhizobium"	"Proteobacteria"	"Phyllobacteriaceae"	0.646614440598578	0.863404103028724	0.280331387362637	0.712549989450284	7.57531566441512	7.78157113371364	6.9890899169723	-0.836284743825217	6.28296528741722	-0.143481202427783	0.284047027552365
"Methylibium"	"Proteobacteria"	"Comamonadaceae"	0.430423299487296	0.756361131154938	0.529739010989011	0.81083068947816	-1.23555948964968	-1.5316725252446	2.66223760866571	2.53910238674776	6.45970949305072	0.346317488511216	0.398437634700327
"Methylobacterium"	"Proteobacteria"	"Methylobacteriaceae"	0.560061924566116	0.823057453499047	0.596368475274725	0.839505807648031	-1.71114062731611	-1.91564141176447	-1.21380078592578	0.761896016967697	6.84261562477098	0.127923802465167	0.455252975200381
"Microbispora"	"Actinobacteria"	"Micrococcaceae"	0.484912190306234	0.770651608644509	0.509735576923077	0.788126386505407	-2.14015350321681	-1.95686140709769	-2.73159369203592	-0.627911681344279	4.54044117259059	-0.146675833104945	0.42801565694614
"Micrococcus"	"Actinobacteria"	"Micrococcaceae"	0.4561830949829	0.755300670635481	0.495913461538461	0.763709339766171	-2.0553146333241	-1.65996873211645	-2.81900366407556	-1.39348233108985	4.50693944979541	-0.249211446994217	0.385214160662816
"Mycobacterium"	"Actinobacteria"	"Mycobacteriaceae"	0.198052279117108	0.64703206330714	0.385619848901099	0.770664485226781	6.01049074848071	5.77854993143125	6.34401661021227	0.535719694247082	1.35103828247719	0.379283287816489	0.334630584464653
"Mycoplana"	"Proteobacteria"	"Caulobacteraceae"	0.379115652106262	0.714452080754394	0.380932348901099	0.711852033228797	-1.72032064842409	-2.13515777993382	1.20874782783134	2.92748664063695	5.8117727649024	0.457967226844702	0.300781551121346
"Neisseria"	"Proteobacteria"	"Neisseriaceae"	0.377408370412033	0.712072666609665	0.469119162087912	0.762246266488833	-2.01941276193445	-1.71292847277452	-2.90590059391644	-1.38857073807623	5.45456738573451	-0.266409806061507	0.35019476017559
"Nesterenkonia"	"Actinobacteria"	"Micrococcaceae"	0.433404173943223	0.747180008016595	0.50362293956044	0.786612555294958	-2.25773242908105	-2.48815600512313	-1.56548739402754	1.59119601768216	4.84864241957343	0.258673539214124	0.377432071143519
"Nitrospira"	"Nitrospirae"	"Nitrospiraceae"	0.335352088331359	0.666148818061347	0.309083104395604	0.641270828476065	-1.43486582210228	-1.81177043387099	1.38876498979406	2.88203497953175	5.32765613025584	0.493638514349483	0.285156585045321
"Nonomuraea"	"Actinobacteria"	"Streptosporangiaceae"	0.497223090188007	0.778970971388949	0.530614697802198	0.792641803335373	-2.1066827835846	-1.85862902533496	-2.82160818605112	-0.379854794727162	4.51759398358739	-0.0856072827208363	0.449218815244335
"Novosphingobium"	"Proteobacteria"	"Sphingomonadaceae"	0.0194581290439714	0.307197746380675	0.0197973901098901	0.257226259746435	4.54616411785371	1.80306395718587	7.42243484906016	7.61869144263144	6.92671418050231	1.11087868303883	0.097657701363377
"Paenibacillus"	"Firmicutes"	"Paenibacillaceae"	0.0824012205173688	0.520380083892408	0.0897493131868132	0.507148219196625	6.51525152666335	6.08578403202499	7.49842910794921	1.44702349428799	1.93351427161047	0.75009847243537	0.207031817285088
"Pandoraea"	"Proteobacteria"	"Burkholderiaceae"	0.381365495622766	0.733033926896062	0.484478021978022	0.784433095329523	-2.17106300914316	-1.90491008827241	-2.81390583498418	-1.28858355455445	5.92207128045949	-0.207374601733932	0.39688729540729
"Paracoccus"	"Proteobacteria"	"Rhodobacteraceae"	0.672060588261241	0.87283388115735	0.676468063186813	0.891140681403558	-1.74261414232369	-1.74643772306731	-1.72609093633562	0.253474500163613	5.9614736148009	0.048793324742274	0.480468774873089
"Parvibaculum"	"Proteobacteria"	"Hyphomicrobiaceae"	0.353385196157755	0.757062359917746	0.218904532967033	0.675091318669122	6.98612748095972	8.04544792503264	6.09686691800759	-1.87552911797223	4.4954061009957	-0.372233790978166	0.289062826291343
"Pedobacter"	"Bacteroidetes"	"Sphingobacteriaceae"	0.465953450925959	0.753153428955081	0.500429258241758	0.787717262012192	-1.39250738648307	-1.84292499073427	0.912183561911159	2.41308585055813	5.13573019456584	0.37618484594687	0.343750220182995
"Peptoniphilus"	"Firmicutes"	"[Tissierellaceae]"	0.465957774837	0.772694724672602	0.516303228021978	0.801722860279718	-2.32004746556132	-2.22305939516134	-2.71782748725954	-0.376059271617749	4.30557316319212	-0.080148097114598	0.455252975200381
"Perlucidibaca"	"Proteobacteria"	"Moraxellaceae"	0.431205996146735	0.787747975475651	0.540101304945055	0.845120689479404	7.64851713969409	7.79926241826276	7.20102789297006	-0.817124055477636	3.16175106266046	-0.177576104395886	0.385214160662816
"Phenylobacterium"	"Proteobacteria"	"Caulobacteraceae"	0.688849482909863	0.879874526333536	0.69609375	0.898651279722281	5.14443808256232	5.17583781130554	5.10019683112601	-0.64996442052149	5.4015080210997	-0.101657130690505	0.398437634700327
"Planctomyces"	"Planctomycetes"	"Planctomycetaceae"	0.392285118609018	0.735131871980456	0.388899381868132	0.711823663851204	-1.58366350631545	-1.14304250381716	-2.63022459644911	-1.91875212883844	4.74366072044439	-0.37959046263841	0.315175367372265
"Polaromonas"	"Proteobacteria"	"Comamonadaceae"	0.456426388809954	0.797277873250551	0.653571428571428	0.892668517846149	7.14866842267471	6.7528102905591	10.2981772741604	3.05719925535618	4.97680201609711	0.604929283710914	0.386718901837579
"Polynucleobacter"	"Proteobacteria"	"Oxalobacteraceae"	0.483006822121327	0.77965703270892	0.509271978021978	0.799513026648194	-1.96678242329457	-2.17174430712331	-1.29549403011739	1.0036951663918	5.26000755154892	0.166960904004264	0.404669385514707
"Porphyromonas"	"Bacteroidetes"	"Porphyromonadaceae"	0.556709644099422	0.812931396100367	0.611976304945055	0.841698460105576	-2.34455637129575	-2.3984204925203	-2.05689268739667	0.800322941895277	5.29957210207937	0.18082907269798	0.42968759121018
"[Prevotella]"	"Bacteroidetes"	"[Paraprevotellaceae]"	0.51804127656765	0.788262825820118	0.553133585164835	0.81482228703592	-2.32822340554171	-2.15591223106899	-2.83880725025926	-0.489249462307598	4.64879066386349	-0.119747022891228	0.445312570380321
"Prosthecobacter"	"Verrucomicrobia"	"Verrucomicrobiaceae"	0.436159229536244	0.768804000087481	0.499665178571429	0.793425091675894	-0.657459508297888	-0.189586397756063	-1.39851073269275	-1.44372024205816	5.01537709249782	-0.222426740975701	0.394531390354669
"Pseudanabaena"	"Cyanobacteria"	"Pseudanabaenaceae"	0.612897211855924	0.852268486639477	0.656473214285714	0.877943407687957	0.170225611940348	0.247142549376028	-0.0878534576866539	-0.182473012700307	4.81423352014974	-0.0347517548719629	0.480468774873089
