"Genus"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"rab.all"	"rab.win.10"	"rab.win.5"	"diff.btw"	"diff.win"	"effect"	"overlap"
"Sediminibacterium"	0.0465298281968773	0.428324257591131	0.333333333333333	0.557908760276326	7.07898191343629	9.31667848999517	5.28879107791182	-3.99522831205135	0.398453955299694	-10.532966300718	0.000547999460257121
"Skermanella"	0.431788549561145	0.688092142909025	0.575520833333333	0.730849605998232	-5.93241665966728	-0.610305443909906	-7.59457993378925	-6.725218530558	6.57655781224358	-0.96069532849756	0.195314964938317
"Sphingobium"	0.264690635387823	0.582721292363182	0.380208333333333	0.59700354235095	1.53100275138603	2.60403869153422	0.903908633361841	-1.80088905926335	1.35666143511109	-1.40432083965958	0.0465244157677118
"Sphingomonas"	0.143535091641056	0.499258805810484	0.333333333333333	0.557908760276326	3.77062123488914	4.68654085046574	2.91547487763098	-1.68856116973462	0.900160196880039	-2.07290453538271	0.000547999460257121
"Sphingopyxis"	0.0859191118371723	0.455777002682147	0.333333333333333	0.557908760276326	-0.019719278349025	1.4903556096234	-1.82715979583904	-3.41149773939688	0.852198372117375	-3.77513797978793	0.000547999460257121
"Spirulina"	0.304990689463295	0.609348875309113	0.466145833333333	0.652560098388565	-5.32516241546767	-0.0693028291120052	-7.57119855864589	-6.80087690465852	4.68288261802362	-1.42168342722889	0.0697757370552277
"Steroidobacter"	0.618258442088612	0.79707257258304	0.760416666666667	0.858946038256479	-4.5209066400712	-5.09971045483675	-2.91600340258936	1.45324686566005	4.42022598086515	0.251110383753075	0.367188226780927
"Streptococcus"	0.145166764369385	0.506174925893626	0.3359375	0.559959267211017	-0.767399308753182	-5.1481375095782	1.09324205404538	6.21705254824503	2.67724255585974	2.09516141865725	0.000547999460257121
"Sulfuritalea"	0.417363508592011	0.690220566582086	0.348958333333333	0.571860422167865	1.40965769616863	0.0233544671728181	1.81085811480957	2.17772893316762	3.52057008915618	1.06317852378272	0.0156646691693825
"Sulfurospirillum"	0.637667180632054	0.813861917993915	0.760416666666667	0.865572736302437	-4.81863260925612	-5.48948620179455	-4.25712044890973	0.387392650405664	4.39614610227885	0.0901516327149575	0.434108862921588
"Synechococcus"	0.734001728709492	0.861546719128537	0.8515625	0.922674510894235	-4.87817206945868	-5.26381088296535	-2.75895589863088	2.15791348586487	6.35239213884686	0.287319894603658	0.398438038791622
"Telmatospirillum"	0.28375132322115	0.590974074902108	0.333333333333333	0.557908760276326	1.04924600210506	-1.34823665579506	2.09286634688866	3.56635980052754	2.68064297822052	1.64379893193674	0.000547999460257121
"Thermomonas"	0.134297678051956	0.498782620535444	0.3359375	0.560223575091141	-1.37395612495098	-5.40751281319732	0.147269905473315	5.6534889403311	2.50759774569002	2.16182185028577	0.000547999460257121
"Thiobacillus"	0.440844787693766	0.704551020231444	0.421875	0.633886799986475	1.42361083368394	-0.368846347450397	1.81751812167584	2.2534308686095	3.07633046905189	1.05699899423951	0.0620249244046617
"Trichococcus"	0.635832182342514	0.808821594719481	0.765625	0.863459638177462	-5.14456795147881	-5.85340303279247	-2.80789203189561	1.76212936982127	5.5668148305735	0.265980938698086	0.359375776672656
"Tsukamurella"	0.312680497445662	0.610131742183429	0.463541666666667	0.650433953273367	-3.05712040412156	-5.31850009012846	-2.45768277534077	2.53314454202077	3.03351348817881	0.878857250911709	0.10156805104198
"Turicibacter"	0.193444005894735	0.531390309238483	0.369791666666667	0.58479270085423	1.32580543172982	0.324771910846446	1.61701598309987	1.33492123464093	0.558065863505542	2.02073015778087	0.0312696412751581
"vadinHB04"	0.644305446983228	0.815949850089339	0.765625	0.867239169504453	-4.69358163093277	-5.04435569289394	-3.30352156300618	1.48056356394331	4.76925627312951	0.266167296890847	0.367188226780927
"Zoogloea"	0.143413148362865	0.504129617537052	0.333333333333333	0.557908760276326	1.35448961254081	3.27391111938305	0.111220726942717	-3.20917554194614	0.716946625654555	-3.43061298660241	0.000547999460257121
