	5A_C_432_9509_DAM_2	T0_W_A_C_2	T0_W_D_E_2	T10_432_DAM_B_A_2	T10_432_DAM_B_B_2	T10_432_DAM_B_C_2	T10_432_DAM_B_D_2	T10_432_DAM_B_E_2	T10_432_DAM_B_F_2	T10_432_DAM_B_G_2	T10_432_DAM_B_H_2	T10_432_DAM_B_I_2	T10_432_DAM_B_K_2	T10_432_DAM_B_L_2	T10_432_DAM_BJ_2	T10_432_DAM_W_A_C_2	T10_432_DAM_W_D_F_2	T10_432_DAM_W_G_I_2	T10_432_DAM_W_J_L_2	T10_W_A_C_2	T10_W_D_E_2	T5_432_DAM_B_H_2	T5_432_DAM_B_I_2	T5_432_DAM_B_J_2	T5_432_DAM_B_L_2	T5_432_DAM_W_D_F_2	T5_432_DAM_W_G_I_2	T5_432_DAM_W_J_L_2	T5_W_A_C_2	T5_W_D_E_2
T10_W_D_E_2	0.7642272511421155	0.7653031787046132	0.7468023989003645	0.9381181797825153	0.7636404021835912	0.6831656511086932	0.6694255064724445	0.7538774402207644	0.8076372217190577	0.6853735135203732	0.7284136755219821	0.70551923035416	0.6930040404565867	0.7156079643000799	0.6771948819655111	0.8458499049481688	0.8463185612070845	0.6571007855852	0.6331420545043022	0.31701296519493327	0.0	0.8580719157653156	0.6270604777484889	0.7408095468009335	0.7285726704090132	0.8353217163008799	0.6436833453864623	0.7314313034143821	0.7152042154695822	0.7212123065116975
T5_432_DAM_B_H_2	0.27761803917164446	0.44382162305746675	0.47221443040408007	0.293514068693271	0.3448220965086044	0.48645175955379566	0.47030264208319994	0.4213868601533511	0.3718236408005866	0.4347599006069156	0.32124805698994674	0.48716726276941347	0.4581545944225066	0.47315265854342226	0.4205219659011377	0.40716305641780437	0.34180641561323566	0.49126858433366216	0.5374165007371378	0.6536062210415466	0.8580719157653156	0.0	0.40301408676975115	0.286873546197271	0.2907667114862401	0.44732934089965326	0.41156449892621333	0.3269531095396089	0.48858715422362664	0.5067772303863465
T5_432_DAM_B_I_2	0.5754483466908356	0.6915092445396976	0.6983233530732801	0.6180761261171555	0.42389631298208885	0.36798412589904883	0.3472557685390667	0.4522643019423557	0.495086591166249	0.34397742531803555	0.3241025050796266	0.3338886819262577	0.3741053166309245	0.3908223349087467	0.33502094560356455	0.72115502077216	0.6450139728343289	0.4439725318341156	0.5279924198350666	0.5596656129856622	0.6270604777484889	0.40301408676975115	0.0	0.19819151388433792	0.1639936646369155	0.7317242093751821	0.4480125445374934	0.5355394856650044	0.75750391346936	0.7758810075708711
T5_432_DAM_B_J_2	0.44450087497483554	0.5752900792073953	0.5835926129187021	0.47191339691230194	0.28583168154196437	0.3559629638723113	0.3448678196773601	0.30875237654605325	0.36075354317124436	0.30670999585021347	0.17999368097941315	0.34522876380298684	0.3386366199447378	0.350337766682969	0.28783469963472896	0.5834009259595733	0.5111474001911288	0.3805857588729601	0.41970376516568014	0.5374591624452001	0.7408095468009335	0.286873546197271	0.19819151388433792	0.0	0.05631050451814239	0.6012596416676975	0.3127274632528889	0.40898297902546654	0.6427493440974132	0.6593276700081865
T5_432_DAM_B_L_2	0.4583147662045868	0.5835890283891111	0.5914452990048801	0.4917992030960799	0.2972932546761779	0.3548856879333512	0.33528781877011543	0.3296093300722845	0.374404733916409	0.3008359112872355	0.19555568024934222	0.3381897490015378	0.3391525981547554	0.3421891544374666	0.2837768507579021	0.6030542058859467	0.5240041287323823	0.3719316038522933	0.4124550676880889	0.52399757991632	0.7285726704090132	0.2907667114862401	0.1639936646369155	0.05631050451814239	0.0	0.6123586060200622	0.3311474943530401	0.41802531876858684	0.6505228206308623	0.6670551977563023
T5_432_DAM_W_D_F_2	0.19265144931533323	0.3023422787667023	0.31427654482856876	0.40285471018179564	0.5275440382883289	0.6524591735329511	0.6215638377591377	0.5869476833852176	0.5358787270179288	0.6412533906411111	0.5680497999009778	0.7218628269371556	0.6603177771696799	0.6477292334892978	0.6024747838730933	0.2602254024073422	0.3185347950958221	0.5299619603747909	0.5038912539308533	0.5874580508987466	0.8353217163008799	0.44732934089965326	0.7317242093751821	0.6012596416676975	0.6123586060200622	0.0	0.4109201251754488	0.22509912545280883	0.19074005655879994	0.2197899914154044
T5_432_DAM_W_G_I_2	0.2568893031102489	0.40976251884520876	0.4150196053713422	0.5288981234881954	0.3039208745571822	0.3425803965703379	0.3609324647941956	0.2845189389404711	0.3499783526465334	0.3690287233953156	0.3012654349581865	0.442499828213049	0.38428150395913774	0.368456612659609	0.33013155400331556	0.44688448313777773	0.4238278187623822	0.2515051376651911	0.29818759829599123	0.40647648844504014	0.6436833453864623	0.41156449892621333	0.4480125445374934	0.3127274632528889	0.3311474943530401	0.4109201251754488	0.0	0.2506194626510311	0.49594033972632	0.5243960618412887
T5_432_DAM_W_J_L_2	0.12827404450369784	0.23404791082390214	0.23284117200850668	0.4055727157855199	0.360017200383271	0.4913314849328534	0.45236336199694216	0.4236040967370844	0.3686228919665777	0.4647726656822223	0.37901340846402676	0.5429532339424801	0.4869875122828977	0.4788692871715289	0.4379314276583821	0.3031468306173599	0.2600616280927556	0.37576138854313773	0.3599553346508089	0.49141738821861336	0.7314313034143821	0.3269531095396089	0.5355394856650044	0.40898297902546654	0.41802531876858684	0.22509912545280883	0.2506194626510311	0.0	0.3198140299178134	0.3638504885627554
T5_W_A_C_2	0.30133125717978665	0.30874779222664017	0.33808880163243554	0.4517412826304623	0.5889636638353244	0.7136867707896	0.6913100689847467	0.6472144469261333	0.6046269932414577	0.6930658063993245	0.61369321702664	0.768838797485218	0.7020650894573865	0.713535321082569	0.6622486504488176	0.32370623618456007	0.39200170996603545	0.6152507061251288	0.5626486321320712	0.4605541196520534	0.7152042154695822	0.48858715422362664	0.75750391346936	0.6427493440974132	0.6505228206308623	0.19074005655879994	0.49594033972632	0.3198140299178134	0.0	0.10290147033738652
T5_W_D_E_2	0.33560810167102206	0.37329972172395554	0.39879714903369756	0.47164285870418665	0.6137037999647821	0.7378999266767465	0.724498242887111	0.6726347929157688	0.6295952916440176	0.7168225327321954	0.6315424226136799	0.7870297752450399	0.7265427279947376	0.7391732860883822	0.6866209416003731	0.36418276327844434	0.4281020109116531	0.6465993089833154	0.6068482377706488	0.4712042062135821	0.7212123065116975	0.5067772303863465	0.7758810075708711	0.6593276700081865	0.6670551977563023	0.2197899914154044	0.5243960618412887	0.3638504885627554	0.10290147033738652	0.0
