	5A_C_432_9509_DAM_2	T0_W_A_C_2	T0_W_D_E_2	T10_432_DAM_B_A_2	T10_432_DAM_B_B_2	T10_432_DAM_B_C_2	T10_432_DAM_B_D_2	T10_432_DAM_B_E_2	T10_432_DAM_B_F_2	T10_432_DAM_B_G_2	T10_432_DAM_B_H_2	T10_432_DAM_B_I_2	T10_432_DAM_B_K_2	T10_432_DAM_B_L_2	T10_432_DAM_BJ_2	T10_432_DAM_W_A_C_2	T10_432_DAM_W_D_F_2	T10_432_DAM_W_G_I_2	T10_432_DAM_W_J_L_2	T10_W_A_C_2	T10_W_D_E_2	T5_432_DAM_B_H_2	T5_432_DAM_B_I_2	T5_432_DAM_B_J_2	T5_432_DAM_B_L_2	T5_432_DAM_W_D_F_2	T5_432_DAM_W_G_I_2	T5_432_DAM_W_J_L_2	T5_W_A_C_2	T5_W_D_E_2
T10_W_D_E_2	0.81088	0.85368	0.8691377777777778	0.9721955555555556	0.9235288888888888	0.9528977777777777	0.9686311111111111	0.9755822222222222	0.9661422222222222	0.9539644444444444	0.9092533333333334	0.9702577777777778	0.9770488888888889	0.9777777777777777	0.9363288888888889	0.9252266666666666	0.9458933333333334	0.9256711111111111	0.9103377777777778	0.3277333333333333	0.0	0.9312177777777778	0.9263288888888889	0.9176444444444445	0.9057333333333333	0.7903466666666666	0.82968	0.8229955555555556	0.5991288888888889	0.6080977777777777
T5_432_DAM_B_H_2	0.6452622222222222	0.9851555555555556	0.9833777777777778	0.9036266666666667	0.8766044444444444	0.9291466666666667	0.9195022222222222	0.9112444444444444	0.9331644444444445	0.9321955555555556	0.8860444444444444	0.9233422222222222	0.93216	0.9396977777777777	0.9028977777777778	0.9384	0.9528355555555555	0.9079733333333333	0.9374311111111111	0.9328888888888889	0.9312177777777778	0.0	0.8018844444444444	0.7481688888888889	0.7362577777777778	0.8265244444444444	0.6041066666666667	0.8291644444444445	0.9334044444444445	0.93448
T5_432_DAM_B_I_2	0.7674755555555556	0.9693155555555556	0.9614133333333333	0.8985333333333333	0.8107022222222222	0.8233866666666667	0.8613155555555555	0.9010933333333333	0.8484355555555556	0.8507466666666667	0.6907288888888888	0.9322577777777777	0.9257155555555555	0.9032266666666666	0.7688977777777778	0.9172266666666666	0.9344622222222222	0.9430222222222222	0.9280444444444444	0.9423733333333333	0.9263288888888889	0.8018844444444444	0.0	0.47012444444444446	0.36288888888888887	0.7905955555555556	0.8376088888888888	0.7758133333333334	0.9389066666666667	0.9126933333333334
T5_432_DAM_B_J_2	0.7107466666666666	0.9578755555555556	0.9537422222222223	0.8349955555555556	0.7042844444444445	0.7588	0.8259822222222222	0.8189511111111111	0.8020088888888889	0.8081244444444444	0.5866844444444445	0.8833244444444445	0.8633155555555555	0.83928	0.7059555555555556	0.8576533333333334	0.8677866666666667	0.8603644444444445	0.85408	0.9326577777777778	0.9176444444444445	0.7481688888888889	0.47012444444444446	0.0	0.2647555555555556	0.7693955555555556	0.7710933333333333	0.7304533333333333	0.9209244444444444	0.9008088888888889
T5_432_DAM_B_L_2	0.6859911111111111	0.9545866666666667	0.9517688888888889	0.8379644444444444	0.70784	0.7632177777777778	0.8298666666666666	0.8382755555555556	0.82048	0.8079733333333333	0.6159377777777778	0.8848	0.8863377777777778	0.8588444444444444	0.7206755555555555	0.8728355555555556	0.8825155555555556	0.8876533333333333	0.87952	0.9223733333333334	0.9057333333333333	0.7362577777777778	0.36288888888888887	0.2647555555555556	0.0	0.7350222222222222	0.7803822222222222	0.7373155555555555	0.9039288888888889	0.8852533333333333
T5_432_DAM_W_D_F_2	0.34968	0.6568088888888889	0.6140622222222222	0.8385866666666667	0.7849955555555556	0.8306666666666667	0.8070311111111111	0.8202755555555555	0.83536	0.8289688888888889	0.7859644444444445	0.9032088888888888	0.8468533333333333	0.83048	0.7714933333333334	0.7249333333333333	0.7708	0.7378844444444445	0.7688533333333334	0.7481422222222223	0.7903466666666666	0.8265244444444444	0.7905955555555556	0.7693955555555556	0.7350222222222222	0.0	0.4935466666666667	0.3499377777777778	0.5864266666666667	0.6630311111111111
T5_432_DAM_W_G_I_2	0.3950488888888889	0.7980977777777778	0.7645777777777778	0.8553688888888888	0.7936977777777777	0.8451022222222222	0.8498933333333333	0.8385066666666666	0.8601955555555556	0.8607288888888889	0.8034755555555556	0.8836711111111111	0.8634133333333334	0.86584	0.8061866666666667	0.7795111111111112	0.8224444444444444	0.75808	0.7970488888888889	0.8014933333333333	0.82968	0.6041066666666667	0.8376088888888888	0.7710933333333333	0.7803822222222222	0.4935466666666667	0.0	0.5045333333333333	0.7328977777777778	0.7632711111111111
T5_432_DAM_W_J_L_2	0.42020444444444444	0.668	0.63792	0.8487822222222222	0.7782755555555556	0.8324177777777778	0.7715022222222222	0.8042044444444445	0.7956177777777778	0.8283022222222223	0.7907911111111111	0.8509955555555555	0.8463911111111111	0.8084622222222222	0.7780355555555556	0.7217066666666667	0.7018755555555556	0.6980977777777778	0.6996444444444444	0.7923377777777778	0.8229955555555556	0.8291644444444445	0.7758133333333334	0.7304533333333333	0.7373155555555555	0.3499377777777778	0.5045333333333333	0.0	0.6287111111111111	0.6814311111111111
T5_W_A_C_2	0.6782044444444445	0.6299733333333334	0.6497422222222222	0.9577511111111111	0.9337244444444445	0.9543644444444445	0.9538933333333334	0.9474933333333333	0.95528	0.9563822222222222	0.9249333333333334	0.9561866666666666	0.9615022222222223	0.9628	0.9370222222222222	0.8725955555555556	0.8923466666666666	0.8856622222222222	0.8777155555555556	0.5162311111111111	0.5991288888888889	0.9334044444444445	0.9389066666666667	0.9209244444444444	0.9039288888888889	0.5864266666666667	0.7328977777777778	0.6287111111111111	0.0	0.4023555555555556
T5_W_D_E_2	0.7227644444444444	0.6859555555555555	0.6911377777777777	0.9457777777777778	0.9295911111111111	0.9462133333333334	0.9588711111111111	0.9550666666666666	0.93944	0.9587822222222222	0.8904622222222223	0.9644088888888889	0.9667022222222222	0.9660711111111111	0.9338666666666666	0.8569955555555555	0.8716355555555556	0.9011911111111112	0.8848266666666667	0.52272	0.6080977777777777	0.93448	0.9126933333333334	0.9008088888888889	0.8852533333333333	0.6630311111111111	0.7632711111111111	0.6814311111111111	0.4023555555555556	0.0
