sample_id	paired_type	location	study	host	tissue
2.21_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
2.22_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
2.24_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
2.3_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
2.4_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
2.6_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
2.7_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
2.9_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.1_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.10_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.12_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.13_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.15_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.16_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.18_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.19_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.21_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.22_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.24_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.3_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.4_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.6_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.7_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
3.9_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
9-1-environment	environment	Arbuckle	edwards_et_al	rice	environment
9-10-environment	environment	Sacramento	edwards_et_al	rice	environment
9-11-environment	environment	Sacramento	edwards_et_al	rice	environment
9-12-environment	environment	Sacramento	edwards_et_al	rice	environment
9-3-environment	environment	Arbuckle	edwards_et_al	rice	environment
9-4-environment	environment	Arbuckle	edwards_et_al	rice	environment
9-9-environment	environment	Sacramento	edwards_et_al	rice	environment
B-1-environment	environment	Arbuckle	edwards_et_al	rice	environment
B-10-environment	environment	Sacramento	edwards_et_al	rice	environment
B-12-environment	environment	Sacramento	edwards_et_al	rice	environment
B-3-environment	environment	Arbuckle	edwards_et_al	rice	environment
B-4-environment	environment	Arbuckle	edwards_et_al	rice	environment
B-8-environment	environment	Davis	edwards_et_al	rice	environment
B-9-environment	environment	Sacramento	edwards_et_al	rice	environment
E-1-environment	environment	Arbuckle	edwards_et_al	rice	environment
E-10-environment	environment	Sacramento	edwards_et_al	rice	environment
E-3-environment	environment	Arbuckle	edwards_et_al	rice	environment
E-4-environment	environment	Arbuckle	edwards_et_al	rice	environment
E-6-environment	environment	Davis	edwards_et_al	rice	environment
E-8-environment	environment	Davis	edwards_et_al	rice	environment
I-1-environment	environment	Arbuckle	edwards_et_al	rice	environment
I-10-environment	environment	Sacramento	edwards_et_al	rice	environment
I-12-environment	environment	Sacramento	edwards_et_al	rice	environment
I-4-environment	environment	Arbuckle	edwards_et_al	rice	environment
I-5-environment	environment	Davis	edwards_et_al	rice	environment
I-6-environment	environment	Davis	edwards_et_al	rice	environment
I-8-environment	environment	Davis	edwards_et_al	rice	environment
I-9-environment	environment	Sacramento	edwards_et_al	rice	environment
M-1-environment	environment	Arbuckle	edwards_et_al	rice	environment
M-10-environment	environment	Sacramento	edwards_et_al	rice	environment
M-11-environment	environment	Sacramento	edwards_et_al	rice	environment
M-12-environment	environment	Sacramento	edwards_et_al	rice	environment
M-3-environment	environment	Arbuckle	edwards_et_al	rice	environment
M-4-environment	environment	Arbuckle	edwards_et_al	rice	environment
M-6-environment	environment	Davis	edwards_et_al	rice	environment
M-8-environment	environment	Davis	edwards_et_al	rice	environment
N-1-environment	environment	Arbuckle	edwards_et_al	rice	environment
N-12-environment	environment	Sacramento	edwards_et_al	rice	environment
N-3-environment	environment	Arbuckle	edwards_et_al	rice	environment
N-8-environment	environment	Davis	edwards_et_al	rice	environment
N-9-environment	environment	Sacramento	edwards_et_al	rice	environment
SL1	environment	s1.china.guizhou_province.leishan_county	huang_et_al	rice_duckweed	environment
SL2	environment	s1.china.guizhou_province.leishan_county	huang_et_al	rice_duckweed	environment
SL3	environment	s1.china.guizhou_province.leishan_county	huang_et_al	rice_duckweed	environment
SL4	environment	s2.china.guizhou_province.congjiang_county	huang_et_al	rice_duckweed	environment
SL5	environment	s2.china.guizhou_province.congjiang_county	huang_et_al	rice_duckweed	environment
SL6	environment	s2.china.guizhou_province.congjiang_county	huang_et_al	rice_duckweed	environment
SL7	environment	s3.china.guizhou_province.liping_county	huang_et_al	rice_duckweed	environment
CH_W_A	environment	Caldwell_House	ch_pp	duckweed	environment
CH_W_B	environment	Caldwell_House	ch_pp	duckweed	environment
CH_W_C	environment	Caldwell_House	ch_pp	duckweed	environment
CH_W_D	environment	Caldwell_House	ch_pp	duckweed	environment
PP_W_A	environment	Passion_Puddle	ch_pp	duckweed	environment
PP_W_B	environment	Passion_Puddle	ch_pp	duckweed	environment
PP_W_C	environment	Passion_Puddle	ch_pp	duckweed	environment
PP_W_D	environment	Passion_Puddle	ch_pp	duckweed	environment
5A_C_432_9509_DAM_2	environment	princeton_meadows	pm_year1	duckweed	environment
T5_432_DAM_W_D_F_2	environment	princeton_meadows	pm_year1	duckweed	environment
T5_432_DAM_W_G_I_2	environment	princeton_meadows	pm_year1	duckweed	environment
T5_432_DAM_W_J_L_2	environment	princeton_meadows	pm_year1	duckweed	environment
T10_432_DAM_W_A_C_2	environment	princeton_meadows	pm_year1	duckweed	environment
T10_432_DAM_W_D_F_2	environment	princeton_meadows	pm_year1	duckweed	environment
T10_432_DAM_W_G_I_2	environment	princeton_meadows	pm_year1	duckweed	environment
