Genus	AS1	AS2	AS3	AS4	AS5	AS6	AS7	AS8	AS9	AW1	AW2	AW3	AW4	AW5	AW6	AW7	AW8	AW9	DS1	DS2	DS3	DS4	DS5	DS6	DS7	DS8	DS9	DW1	DW2	DW3	DW4	DW5	DW6	DW7	DW8	DW9	RS1	RS2	RS3	RS4	RS5	RS6	RS7	RS8	RS9	RW1	RW3	RW4	RW7	RW9	SL1	SL2	SL3	SL4	SL5	SL6	SL7
Meiothermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	98	590	680	25	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	7	0	20	0
Methylibium	32	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	167	1410	164	87	5774	3160	2846	3975	1002	299	2587	314	75	258	295	221	193	408	23	0	65	0	0	31	0	0	0	0	151	171	0	159	84	0	0	98	95	0	54
Methylobacterium	2326	530	2300	2586	1006	202	1025	193	43	3262	1134	3042	233	1632	3366	2249	617	278	12	0	0	145	106	54	54	24	37	9	132	7	26	0	18	28	0	0	30	1066	0	0	0	0	40	0	0	0	0	0	3	16	0	8	0	0	0	0	0
Methylocaldum	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	66	0	0	19	466	150	31	75	132	295	176
Methylomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	190	0	0	0	0	0	0	0	714	22	404	87	906	340	296	75	174	894	1146	352	88	402	1280	781	1223	1486	2796	1240	718
Methylophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0
Methylosinus	23	20	0	0	18	0	16	0	0	46	18	19	17	20	0	32	26	28	0	0	0	0	0	0	0	91	140	0	114	13	0	0	0	0	0	0	84	120	337	578	432	1304	581	151	666	110	3346	659	292	525	1059	618	509	478	949	681	604
Methylotenera	0	243	188	0	14	0	0	0	0	0	612	382	5	8	19	0	0	0	0	390	0	702	82	30	0	0	129	0	0	0	393	119	376	31	0	0	0	0	13	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
Methyloversatilis	0	0	0	205	0	0	0	0	0	0	23	0	11	0	45	101	0	0	0	0	56	56	82	64	0	58	0	35	54	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	33	0	29	0	0
Microbispora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moorella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycobacterium	225	0	299	11	8	0	0	0	17	126	77	1052	100	50	135	121	31	24	89	654	87	54	1275	834	39	106	64	133	1543	397	94	139	59	81	43	27	0	200	8	25	0	53	0	99	51	25	38	83	0	18	374	551	367	25	31	17	213
Mycoplana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	4	9	0	0	0	0	0
Myxococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	24
Nannocystis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nevskia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	16	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	31	26	0	0	0	20
Niastella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0
Nitrospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	9	12	451	255	826	367	564	551	733
Nocardioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0
Nostoc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0
Novispirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium	109	1095	1247	0	97	144	47	62	0	226	4692	7538	247	334	432	528	85	40	338	16768	1950	8750	958	1259	2538	2033	11131	19071	342	8238	12023	5538	14929	5384	16895	1762	535	344	455	532	194	460	577	1348	197	1967	2540	425	747	717	392	289	57	0	42	0	0
Ochrobactrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	27	0	0	24	23	220	228	595	35	0	221	0	23	299	391	209	46	0	14	0	0	0	0	0	0	0	0	0	0	0	0	9	24	0	0	0	0	0
Opitutus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	58	29	227	356	56	0	191	10	0	0	98	143	99	0	36	310	271	235	207	113	192	131	150	36	467	341	151	461	1495	1334	597	539	798	642	261
OR-59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Oxobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0
Paenibacillus	21	7	0	0	3	0	0	0	0	6594	1511	292	19	47	266	116	58	23	0	37	19	0	0	6	0	0	0	0	16	0	0	0	0	0	92	0	582	147	21	0	103	71	36	0	0	169	133	0	0	0	0	41	0	0	0	0	18
Paludibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	20	0	0	0	0	0	26	0	0	0	11	0	9	59	0	977	323	460	231	459	1731	350	2541	268	171	1299	7558	6139	178	242	127	110	302	137	51
Pandoraea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0
Paracoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pedobacter	0	0	59	9	0	0	0	6	0	0	0	0	0	0	0	19	0	0	30	176	47	70	301	356	422	275	341	368	650	203	91	0	499	303	523	100	0	0	0	0	0	0	0	0	0	0	12	15	0	12	0	0	0	0	0	0	0
Pedomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	106	50	119	509	256	523	818	325	77	637	48	16	0	110	105	29	174	0	0	0	0	0	0	0	0	0	0	11	24	0	0	6	5	0	0	0	0	0
Pedosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	242	104	71	135	98	0
Pelomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	80	0	0	73	86	550	448	59	321	0	0	134	96	225	252	247	0	650	204	263	105	111	319	0	307	1065	97	105	0	0	0	0	0	0	0	0
Pelosinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	101	0	0	0	37	44	0	0	0	0	0	0	0
Pelotomaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	22	5	0
